Wall time,Step,Value
1706034408.2071211,50,0.2457999885082245
1706034454.870629,60,0.2695000171661377
1706034647.1006663,100,0.319599986076355
1706034695.3664057,110,0.3418000042438507
1706034791.5870907,130,0.3346000015735626
1706034839.3247132,140,0.3352999985218048
1706034889.4329927,150,0.3668999969959259
1706034983.973985,170,0.35350000858306885
1706035034.101469,180,0.39800000190734863
1706035087.4492652,190,0.35280001163482666
1706035135.5456707,200,0.38760000467300415
1706035340.5524654,240,0.41519999504089355
1706035774.8919778,330,0.4812999963760376
1706035819.7327068,340,0.44359999895095825
1706035914.4652343,360,0.4404999911785126
1706036051.9434154,390,0.4740000069141388
1706036097.6834671,400,0.48739999532699585
1706036198.5250645,420,0.47360000014305115
1706036296.3279867,440,0.48980000615119934
1706036344.4884093,450,0.503000020980835
1706036438.5347087,470,0.41690000891685486
1706036542.4025252,490,0.5002000331878662
1706036595.0437381,500,0.484499990940094
1706036730.8405302,530,0.5386999845504761
1706036774.252332,540,0.47690001130104065
1706036819.1095433,550,0.522599995136261
1706036864.9237347,560,0.5198000073432922
1706036914.109386,570,0.5306000113487244
1706037054.4699001,600,0.5408999919891357
1706037099.511616,610,0.4992000162601471
1706037194.7795193,630,0.5178999900817871
1706037290.2371006,650,0.5460999608039856
1706037336.6242135,660,0.5541999936103821
1706037385.381996,670,0.5335999727249146
1706037434.2139032,680,0.5491000413894653
1706037585.4684918,710,0.5388000011444092
1706037632.1188018,720,0.5741999745368958
1706037681.8984416,730,0.5690000057220459
1706037733.5554762,740,0.5224000215530396
1706037825.1047733,760,0.513700008392334
1706037960.8842306,790,0.555899977684021
1706038193.4183722,840,0.5756000280380249
1706038239.0431983,850,0.5705000162124634
1706038286.70415,860,0.5605000257492065
1706038332.2246597,870,0.5429999828338623
1706038379.0267065,880,0.5932999849319458
1706038425.884045,890,0.5773999691009521
1706038649.8493874,940,0.5898000001907349
1706039006.6403651,1020,0.5816999673843384
1706039131.972573,1050,0.5361000299453735
1706039174.182186,1060,0.6040000319480896
1706039453.3613095,1130,0.5806999802589417
1706039573.554716,1160,0.5756999850273132
1706039656.0143075,1180,0.6123999953269958
1706039696.2777715,1190,0.5845000147819519
1706039738.1630044,1200,0.6280999779701233
1706039903.2553096,1240,0.5576000213623047
1706039946.905169,1250,0.6107000112533569
1706039987.6001825,1260,0.6137999892234802
1706040109.831021,1290,0.5895000100135803
1706040151.3855145,1300,0.5967000126838684
1706040271.5419898,1330,0.5972000360488892
1706040436.0860317,1370,0.5916000008583069
1706040519.2916393,1390,0.6010000109672546
1706040601.9563909,1410,0.6180999875068665
1706040642.626165,1420,0.5891000032424927
1706040683.2371814,1430,0.6208999752998352
1706040724.8954258,1440,0.6039999723434448
1706040805.2068307,1460,0.599399983882904
1706040887.3115938,1480,0.6069999933242798
1706040968.443483,1500,0.6158000230789185
1706041092.1445425,1530,0.6136000156402588
1706041133.2558906,1540,0.6049000024795532
1706041173.6697147,1550,0.6115000247955322
1706041253.8355668,1570,0.6173999905586243
1706041294.5684023,1580,0.6159999966621399
1706041336.1162434,1590,0.6096000075340271
1706041461.539974,1620,0.5884000062942505
1706041545.3666947,1640,0.5920000076293945
1706041587.8002737,1650,0.6071000099182129
1706041671.2338665,1670,0.6161999702453613
1706041714.6999605,1680,0.6456000208854675
1706041843.2912376,1710,0.6000999808311462
1706042049.077207,1760,0.6211000084877014
1706042089.9128659,1770,0.6342999935150146
1706042130.0295434,1780,0.614799976348877
1706042210.5634816,1800,0.6288000345230103
1706042255.1927173,1810,0.6218000054359436
1706042339.4584248,1830,0.6065000295639038
1706042422.5866282,1850,0.6345000267028809
1706042466.43169,1860,0.6208000183105469
1706042508.1148186,1870,0.6402000188827515
1706042549.5579755,1880,0.6262999773025513
1706042632.8307438,1900,0.6243000030517578
1706042675.2388349,1910,0.6255999803543091
1706042970.5308943,1980,0.630299985408783
1706043136.5757735,2020,0.6295000314712524
1706043318.8482924,2060,0.6406000256538391
1706043365.763315,2070,0.6459000110626221
1706043413.0840967,2080,0.6297000050544739
1706043598.4659038,2120,0.6306999921798706
1706043644.8471613,2130,0.6252000331878662
1706043739.4055579,2150,0.6215999722480774
1706043879.9232495,2180,0.6517000198364258
1706043925.1860125,2190,0.6345999836921692
1706044065.805546,2220,0.6348999738693237
1706044115.5187485,2230,0.6327999830245972
1706044210.9789977,2250,0.632099986076355
1706044258.0254087,2260,0.6424999833106995
1706044305.8280876,2270,0.6298999786376953
1706044402.2666547,2290,0.6398000121116638
1706044450.204116,2300,0.6205999851226807
1706044500.2797081,2310,0.6263999938964844
1706044546.8486524,2320,0.6312999725341797
1706044594.41651,2330,0.6406999826431274
1706044643.309725,2340,0.6402999758720398
1706044783.7282572,2370,0.6420000195503235
1706044923.95728,2400,0.629800021648407
1706045114.1669655,2440,0.6395999789237976
1706045161.6244197,2450,0.6335999965667725
1706045256.176457,2470,0.6295999884605408
1706045350.7593586,2490,0.6406999826431274
1706045396.7105937,2500,0.6261000037193298
1706045633.3657713,2550,0.6241999864578247
1706045767.0951705,2580,0.6330000162124634
1706045816.245684,2590,0.6032000184059143
1706045865.73832,2600,0.6417999863624573
1706045912.520013,2610,0.6563000082969666
1706046005.9742005,2630,0.6137999892234802
1706046192.0900526,2670,0.6262000203132629
1706046285.9047365,2690,0.6453999876976013
1706046378.3433015,2710,0.6410999894142151
1706046473.3131864,2730,0.6574000120162964
1706046708.3976674,2780,0.6554999947547913
1706046802.5264277,2800,0.6420999765396118
1706046991.9008813,2840,0.6247999668121338
1706047226.3168254,2890,0.640999972820282
1706047321.595985,2910,0.6527000069618225
1706047366.4504511,2920,0.6431000232696533
1706047504.9181137,2950,0.6646000146865845
1706047597.6778743,2970,0.6499999761581421
1706047648.1618488,2980,0.6438000202178955
1706047695.1554883,2990,0.6531999707221985
1706047791.2491348,3010,0.6373000144958496
1706047836.698142,3020,0.6484000086784363
1706047883.1156478,3030,0.6360999941825867
1706048074.4765344,3070,0.6492000222206116
1706048121.7617397,3080,0.6518999934196472
1706048216.4059305,3100,0.638700008392334
1706048362.4985254,3130,0.6552000045776367
1706048551.6901383,3170,0.6536999940872192
1706048597.1774771,3180,0.6392999887466431
1706048643.8637707,3190,0.6459000110626221
1706048691.3877435,3200,0.6425999999046326
1706048789.1795669,3220,0.6468999981880188
1706048928.9403129,3250,0.6435999870300293
1706048976.8467433,3260,0.6427000164985657
1706049025.7432714,3270,0.6470000147819519
1706049166.230176,3300,0.6403999924659729
1706049214.1386933,3310,0.6543999910354614
1706049308.4636583,3330,0.6527999639511108
1706049591.1082277,3390,0.6504999995231628
1706049685.324119,3410,0.6430000066757202
1706049830.4382653,3440,0.6412000060081482
1706049878.3380127,3450,0.6518999934196472
1706049971.4178028,3470,0.6322000026702881
1706050017.69836,3480,0.6370999813079834
1706050253.6315367,3530,0.6498000025749207
1706050301.3784027,3540,0.6488000154495239
1706050400.8127403,3560,0.6542999744415283
1706050496.377138,3580,0.6391000151634216
1706050544.6850839,3590,0.6330000162124634
1706050594.5691507,3600,0.6459000110626221
1706050735.3291578,3630,0.6385000348091125
1706050784.256356,3640,0.6381999850273132
1706050830.5043159,3650,0.647599995136261
1706050925.9117548,3670,0.6419000029563904
1706050972.8960145,3680,0.6391000151634216
1706051070.198351,3700,0.6226000189781189
1706051116.0107386,3710,0.6521999835968018
1706051200.3832152,3730,0.6334999799728394
1706051298.0104737,3750,0.6542999744415283
1706051392.4209409,3770,0.6568999886512756
1706051439.2193372,3780,0.6241999864578247
1706051487.153656,3790,0.6295999884605408
1706051579.0050175,3810,0.646399974822998
1706051625.739741,3820,0.652899980545044
1706051767.8193705,3850,0.647599995136261
1706051814.558905,3860,0.644599974155426
1706051861.0709202,3870,0.6557999849319458
1706051907.606574,3880,0.6450999975204468
1706052002.610227,3900,0.6496000289916992
1706052050.0658424,3910,0.6500999927520752
1706052097.3636155,3920,0.6614999771118164
1706052144.2401874,3930,0.6425999999046326
1706052583.7290905,4020,0.6373000144958496
1706052633.084122,4030,0.6462000012397766
1706052733.7516434,4050,0.6441999673843384
1706052880.963412,4080,0.6625000238418579
1706053211.8746424,4150,0.6324000358581543
1706053257.313032,4160,0.6571999788284302
1706053452.4743693,4200,0.6449000239372253
1706053503.9288857,4210,0.6557000279426575
1706053554.7972076,4220,0.6532999873161316
1706053652.2743726,4240,0.6647000312805176
1706053748.2030666,4260,0.6621999740600586
1706053939.5298321,4300,0.6413999795913696
1706054370.4380574,4390,0.6604999899864197
1706054419.217637,4400,0.6416000127792358
1706054468.5910978,4410,0.6657000184059143
1706054513.5979667,4420,0.6517999768257141
1706054611.7065768,4440,0.6532999873161316
1706054658.5139925,4450,0.6431999802589417
1706054800.8382204,4480,0.6700999736785889
1706054944.1939902,4510,0.6513000130653381
1706055290.1523159,4580,0.6335999965667725
1706055336.699403,4590,0.6553999781608582
1706055381.0553415,4600,0.6597999930381775
1706055426.5530245,4610,0.6628999710083008
1706055522.078571,4630,0.6554999947547913
1706055569.9447153,4640,0.6557999849319458
1706055614.3837779,4650,0.6585000157356262
1706055712.1675282,4670,0.6531000137329102
1706055762.2192228,4680,0.6690999865531921
1706055811.8274431,4690,0.6571999788284302
1706055910.3690355,4710,0.6520999670028687
1706056007.532901,4730,0.6561000347137451
1706056054.2574046,4740,0.6635000109672546
1706056245.8836882,4780,0.6499000191688538
1706056589.9049265,4850,0.6389999985694885
1706056734.9512236,4880,0.6567000150680542
1706056776.1603403,4890,0.6521000266075134
1706056876.1318681,4910,0.660099983215332
1706056969.249638,4930,0.6570000052452087
1706057114.9473367,4960,0.6471999883651733
1706057642.952481,5070,0.6484999656677246
1706057784.4655266,5100,0.6603000164031982
1706057830.717216,5110,0.6644999980926514
1706057879.9307928,5120,0.6549999713897705
1706057973.5171893,5140,0.644599974155426
1706058069.4973192,5160,0.6633999943733215
1706058118.4993188,5170,0.6668000221252441
1706058220.1521144,5190,0.6597999930381775
1706058464.630461,5240,0.657800018787384
1706058512.0084603,5250,0.6545000076293945
1706058814.7239392,5310,0.654699981212616
1706058915.1795938,5330,0.6556000113487244
1706058966.9127345,5340,0.6585000157356262
1706059015.0770445,5350,0.6668000221252441
1706059065.0423229,5360,0.6557999849319458
1706059111.6407158,5370,0.6546000242233276
1706059158.5084066,5380,0.6700000166893005
1706059208.0946832,5390,0.659500002861023
1706059258.833576,5400,0.652400016784668
1706059305.490826,5410,0.6514000296592712
1706059353.912488,5420,0.6628000140190125
1706059449.1403463,5440,0.666100025177002
1706059589.391679,5470,0.6615999937057495
1706059634.5226614,5480,0.6629999876022339
1706059683.8784583,5490,0.6669999957084656
1706059778.5094788,5510,0.6559000015258789
1706059972.9820886,5550,0.6599000096321106
1706060068.6193297,5570,0.6604000329971313
1706060166.4982157,5590,0.6654999852180481
1706060362.4012418,5630,0.6662999987602234
1706060409.049502,5640,0.6643999814987183
1706060455.9866335,5650,0.633899986743927
1706060547.0709887,5670,0.6370000243186951
1706060641.3665793,5690,0.654699981212616
1706060735.3631897,5710,0.6611000299453735
1706060831.0098689,5730,0.6347000002861023
1706060877.438282,5740,0.6592999696731567
1706061023.1459122,5770,0.6607999801635742
1706061118.573903,5790,0.6513000130653381
1706061165.0309935,5800,0.6549999713897705
1706061213.1470168,5810,0.6685000061988831
1706061261.3060386,5820,0.65420001745224
1706061309.062457,5830,0.657800018787384
1706061356.3437228,5840,0.654699981212616
1706061453.8885205,5860,0.6575000286102295
1706061498.3110478,5870,0.6565999984741211
1706061742.0747814,5920,0.6604000329971313
1706061793.404764,5930,0.6402999758720398
1706061894.928641,5950,0.6629000306129456
1706061945.1226244,5960,0.6495000123977661
1706061995.5516436,5970,0.6531000137329102
1706062151.421716,6000,0.6614000201225281
1706062247.7890236,6020,0.6579999923706055
1706062343.223706,6040,0.6553999781608582
1706062442.2171085,6060,0.652899980545044
1706062560.035522,6080,0.6640999913215637
1706062666.0827289,6100,0.6697999835014343
1706062714.797988,6110,0.6628999710083008
1706062761.1081195,6120,0.6531000137329102
1706062907.1679156,6150,0.6550999879837036
1706063119.0473588,6190,0.6586999893188477
1706063170.5206769,6200,0.6571000218391418
1706063270.4295228,6220,0.6589000225067139
1706063324.4826102,6230,0.6621000170707703
1706063414.656179,6250,0.6633999943733215
1706063609.1387386,6290,0.6516000032424927
1706063860.2854874,6340,0.6575999855995178
1706064214.1151333,6410,0.6588000059127808
1706064263.7665443,6420,0.6572999954223633
1706064360.363374,6440,0.6563000082969666
1706064407.6379673,6450,0.6625999808311462
1706064455.6080704,6460,0.6488000154495239
1706064505.1951835,6470,0.651199996471405
1706064550.405651,6480,0.6342999935150146
1706064600.1287212,6490,0.6640999913215637
1706064694.980586,6510,0.6607999801635742
1706064743.2653563,6520,0.6504999995231628
1706064944.049089,6560,0.6614999771118164
1706064992.7059195,6570,0.6549999713897705
1706065092.3413746,6590,0.6536999940872192
1706065189.9707003,6610,0.6599000096321106
1706065330.9302135,6640,0.6614999771118164
1706065434.6929011,6660,0.6675000190734863
1706065482.161057,6670,0.6611000299453735
1706065528.389613,6680,0.6644999980926514
1706065674.2909212,6710,0.6636000275611877
1706065721.5364149,6720,0.6640999913215637
1706065765.2610886,6730,0.6549000144004822
1706065808.5487344,6740,0.652899980545044
1706065851.8766758,6750,0.6485000252723694
1706065937.0913746,6770,0.645799994468689
1706065978.6617703,6780,0.6499999761581421
1706066018.3864446,6790,0.6589999794960022
1706066099.844555,6810,0.6480000019073486
1706066139.0220692,6820,0.6599000096321106
1706066175.4906769,6830,0.6550000309944153
1706066212.8004305,6840,0.6687999963760376
1706066252.8676417,6850,0.6625999808311462
1706066289.7927723,6860,0.6614999771118164
1706066362.198383,6880,0.6449999809265137
1706066397.6749268,6890,0.6474999785423279
1706066503.3615143,6920,0.6590999960899353
1706066645.5817604,6960,0.670199990272522
1706066751.766127,6990,0.6665999889373779
1706066786.6004941,7000,0.6582000255584717
1706066821.8467817,7010,0.6568999886512756
1706066890.378879,7030,0.6593999862670898
1706066926.4164732,7040,0.6611999869346619
1706066963.2610252,7050,0.6585999727249146
1706066997.888339,7060,0.6446999907493591
1706067068.1565652,7080,0.6578999757766724
1706067101.4673173,7090,0.6644999980926514
1706067134.7509375,7100,0.6603999733924866
1706067270.6385088,7140,0.6571999788284302
1706067404.6996949,7180,0.6653000116348267
1706067439.1816556,7190,0.6617000102996826
1706067506.3526363,7210,0.6747000217437744
1706067539.8835351,7220,0.652999997138977
1706067570.3605506,7230,0.6680999994277954
1706067602.6065211,7240,0.6413999795913696
1706067638.565469,7250,0.6664000153541565
1706067672.6471,7260,0.6597999930381775
1706067771.2435663,7290,0.6521999835968018
1706067802.5410295,7300,0.6624000072479248
1706067835.4394915,7310,0.6656000018119812
1706067997.6086912,7360,0.65829998254776
1706068065.5263555,7380,0.6638000011444092
1706068098.9033573,7390,0.6578999757766724
1706068133.0195055,7400,0.652999997138977
1706068166.3422663,7410,0.6650999784469604
1706068231.6638255,7430,0.6711000204086304
1706068336.3630862,7460,0.6467999815940857
1706068370.778815,7470,0.6722999811172485
1706068475.8891768,7500,0.6668000221252441
1706068510.9541273,7510,0.6611000299453735
1706068546.583765,7520,0.6675000190734863
1706068612.4734933,7540,0.6518999934196472
1706068680.3546178,7560,0.6664999723434448
1706068780.0245152,7590,0.6679999828338623
1706068813.084109,7600,0.6620000004768372
1706068880.4260178,7620,0.6614999771118164
1706068979.1249313,7650,0.6543000340461731
1706069013.5174701,7660,0.6579999923706055
1706069046.3674192,7670,0.6640999913215637
1706069114.5837824,7690,0.6665000319480896
