Step,Value
0,0
1,0
2,0.06571625964982153
3,0.1904695031046867
4,0.10014825593202537
5,0.09306376644543235
6,0.02331496474452499
7,0.08520102009886787
8,0.048472729593842745
9,0.07721121251583096
10,0.280022489602367
11,0.1231540482739607
12,0.04086970926477351
13,0.0540274643614177
14,0.17048383629231734
15,0.042946996022384054
16,0.08045754018638807
17,0.08105313707129413
18,0
19,0.03992684762829379
20,0
21,0.03978601057614595
22,0
23,0.0109990251293548
24,0
25,0.07023562690932228
26,0.06416210452005977
27,0.029558271009734183
28,0.05037951868914414
29,0
30,0.10419637375862612
31,0.07797730162466832
32,0.10186710714093061
33,0.05918560786834559
34,0.04628390206685895
35,0.08991156847813186
36,0.06425960420361365
37,0.021574105996461257
38,0.05641132482678901
39,0.02460010902730969
40,0.02771121980870317
41,0.03375897533345573
42,0.08509698923363351
43,0.0352743038720702
44,0.032526982911340374
45,0.07222605151079953
46,0
47,0.05451515849202104
48,0.06708187249444775
49,0.08954258625706046
50,0.0067076377352298655
51,0.08874877447883289
52,0.16070229075021214
53,0.1830711470213202
54,0.04711952071868908
55,0.01865046427363448
56,0.10598578839347916
57,0.0013475078982965183
58,0.057968786467453626
59,0.15111015301197772
60,0.13827826033063217
61,0.06902910184292566
62,0.0816737233560818
63,0.059634365191062355
64,0.09508365650262152
65,0.04434774996050983
66,0.10092881952722865
67,0.06264162674600826
68,0.09600888902942328
69,0.06852063812888587
70,0.004100799461205895
71,0.0371879398287871
72,0.08532611126701051
73,0.06260532053453571
74,0.06681141963753945
75,0.0477459756533305
76,0.05809763195805073
77,0.07212838848431902
78,0.07987145760884662
79,0.050432670272531954
80,0.04581045002127304
81,0.047969435999790866
82,0.04691914075460202
83,0
84,0.07870607496563342
85,0.06504670555392911
86,0.08209778584785521
87,0.05505643441563568
88,0.13903467534062208
89,0.07329208502457263
90,0.07929350454455786
91,0.06405169057704174
92,0.06901925710913481
93,0.08073154630405566
94,0.07697813673661302
95,0.09464579249421767
96,0.06691069160898544
97,0.05024744380142676
98,0.06911924777995981
99,0.0860806859991492
100,0.09258634120225917
101,0.07279164440738861
102,0.0894313010005725
103,0.06803133144592644
104,0.04541234754380741
105,0.09393926671846031
106,0.05905505384008103
107,0.05505703699294029
108,0.021269323740686907
109,0.008751828788401306
110,0.054128895430338164
111,0.08354428624986743
112,0.025436054818213982
113,0.07820964104472083
114,0.08476064467004374
115,0.09657198532651656
116,0.0576973244051141
117,0.03349207051671488
118,0.05202638929088921
119,0.07778466834853881
120,0.11392157449866802
121,0.05545322080453252
122,0.08542308235943552
123,0.099421874980132
124,0.0721609993775687
125,0.021305113515574514
126,0.03074208918781529
127,0.05423494865114886
128,0.09073853257156572
129,0.0581084329233722
130,0.07160968425728054
131,0
132,0.034599255871969437
133,0.07328379663191864
134,0.07906283780441192
135,0.05294882282123459
136,0.07789301788741432
137,0.03367554183571775
138,0.07467491600703413
139,0.06727804882622468
140,0.04099074303612604
141,0.06962399396813401
142,0.03485607703035576
143,0.08150991330817081
144,0
145,0.08398406753282406
146,0.0891062044955433
147,0.07810854586816962
148,0.10846233433364949
149,0.09507763558200433
150,0.09994090441437009
151,0.06952055258082823
152,0.06413525017954047
153,0.09453838607166709
154,0.050579290624175766
155,0.255164991404329
156,0.07785541323460488
157,0.11418080559322918
158,0.1373526155997763
159,0.08827537382642425
160,0.06156218677104164
161,0.09228948544178694
162,0.17075149113660326
163,0.053807233955178946
164,0.1089343238804803
165,0.05748183343382118
166,0.1583372091901316
167,0.12271959452402015
168,0.03144867228883086
169,0.021853200580392418
170,0.08838398018435678
171,0.05143382880659331
172,0.1160906507544246
173,0.061271890188966505
174,0.1233434595178553
175,0.07614412579508056
176,0.09683776547238487
177,0.07550409532019065
178,0.07690303701675427
179,0.1144429748257001
180,0.05818416493989176
181,0.05986393967554682
182,0.09265125262377039
183,0.0352729842421553
184,0.08545394081062874
185,0.08586290191326817
186,0.046076174698251315
187,0.07772038100730794
188,0.08111536744040437
189,0.05750840131016011
190,0.09176809519147255
191,0.0601471877381915
192,0.06435211736476898
193,0.10081294828227572
194,0.06663971773816102
195,0.06454893920393223
196,0.0398919851652213
197,0.039163780957460315
198,0.07638466014912282
199,0
200,0.09498797395836311
