Step,Value
0,0
1,0.02640521052603917
2,0.002788615779330317
3,0.056799032445997044
4,0.03247452197596434
5,0
6,0.08920126242732473
7,0.02809201628082636
8,0.05514291865920484
9,0.05653815622356806
10,0
11,0.04868774857033398
12,0.10022575755914065
13,0.10825107310757509
14,0
15,0.16667418502271175
16,0.2094615903124214
17,0.19024959890454107
18,0
19,0.22255132564033075
20,0.11916246220469473
21,0.13975681575636056
22,0.02105645524130939
23,0.16024085490653905
24,0.11600784063339231
25,0.11547058587272963
26,0.05844654510418579
27,0.13085318545613323
28,0.17722439408302304
29,0.06360306302706409
30,0.13236749942329795
31,0.129803898682197
32,0.10159205175258901
33,0.15469410966460906
34,0
35,0.13219092288477852
36,0.0762907463041218
37,0.025351741178469167
38,0.10749420038226876
39,0.20354942920702412
40,0.08908019211256135
41,0.16101231601202126
42,0.12034439670317099
43,0.13884597835554302
44,0.08423715337086246
45,0.07754040616931335
46,0.09449345565203449
47,0.19947887583438184
48,0.16529858650808982
49,0.08688313768668599
50,0.05330140983516518
51,0.14307707519693802
52,0.054831776128272725
53,0.16883994128667934
54,0.15133506801092245
55,0.04743935967936663
56,0.06440168210728603
57,0.1898980885777961
58,0.0022877347108087864
59,0.08392621165875225
60,0.05477639770869047
61,0.13183000875693374
62,0.06173531503839924
63,0
64,0.037008075352871095
65,0.18610661635796222
66,0.07744704213407305
67,0.02243295334505302
68,0.013895101646582253
69,0.09247167653658173
70,0.026328404148419637
71,0.19963390390078217
72,0.06724144796530407
73,0.07366346515489353
74,0.07922068039576213
75,0.16393191367839322
76,0.04974412977695475
77,0
78,0.12967156429182403
79,0.13412431922374357
80,0.07392045099626887
81,0.1969826373006358
82,0.03238235552202573
83,0.05442827425219798
84,0.07885848327186007
85,0.13922765084288347
86,0.11826373258323375
87,0.07454695662765798
88,0
89,0.19788521221189803
90,0.23727304016550388
91,0.15869579772154496
92,0.1819248141483828
93,0.15546990871429445
94,0.10647293181882966
95,0.1612490891507179
96,0.18858752061923345
97,0.1936110508893476
98,0.1958879530544465
99,0.12233684770386632
100,0.16372053762276984
101,0.09552692050283607
102,0.1763508276144664
103,0.07286328525254226
104,0.15622651828659917
105,0.13702766398588817
106,0.11962438422622113
107,0.23282641728719078
108,0.1747829336108584
