Step,Value
0,0
1,0
2,0
3,0.07890208040166563
4,0.6034920937116401
5,0
6,1
7,0.8993124800837702
8,0.9121367531580225
9,0
10,0.8311788357794286
11,0.6232727631659079
12,0.2104915622538991
13,1
14,0.20149867564740864
15,0.8391678263608263
16,0.18934810468193353
17,0.18922122844692457
18,0.5466690478586796
19,0.04034265049930852
20,1
21,0.6231005675752046
22,0.25174906299872857
23,0.008822438110653197
24,0
25,0.9536817310885949
26,0
27,0.6308931541743902
28,0.5191162397765144
29,0
30,1
31,0
32,1
33,0
34,0.6498434774682974
35,0.6743687126642528
36,0.35166150595804646
37,0
38,0.9411028453408978
39,0
40,1
41,0
42,1
43,0.17242812055529877
44,0.903011064908721
45,0
46,1
47,0
48,0
49,0.6938667228276085
50,0
51,0.71680820658803
52,0.9225371389445302
53,0.8391408475278278
54,0.6587245566232917
55,1
56,0
57,0.23037037377104608
58,1
59,0.010903803923839162
60,0
61,0.3095304986503392
62,0.5960478298531637
63,0.8713327471132694
64,0.010136534792907659
65,0.6352078160312444
66,0.09787895984119832
67,0.009432170186380873
68,0.47017827379282107
69,0.3757286336897595
70,0.5784783270714255
71,0
72,0.7180808892298464
73,0
74,0.387164003203313
75,0.5925543144116033
76,0.7448900864521665
77,0.23221834031558064
78,0.7243164341572002
79,0.6322588231798375
80,0.0889935486846497
81,0.19220814377069417
82,0.3778478651835928
83,0
84,0.18490525901317456
85,0.7780258883268393
86,0.9010399205485973
87,0.3624102299261559
88,0.7191249574453384
89,0.8944087769813599
90,0.25211734380986783
91,0
92,1
93,0
94,0.4199842722140833
95,0.62830359984667
96,0.32090667992066235
97,0
98,0.24200732469558672
99,0.2923039948940276
100,0.6704216893017293
101,0
102,0.6236605704763927
103,0.6496233948372836
104,0.8681091525458325
105,0.5039151067148364
106,0.560935341365109
107,0.8054141031009986
108,0.46787054653721616
109,0.7335792266961303
110,0.8542623525547638
111,0.10162742597888297
112,0.4328363192917408
113,0.33850927336047465
114,0.8170685711683653
115,1
116,0.14047490532199547
117,0
118,0.41534063882599004
119,1
120,0.7303858898113469
121,0.8155378872487281
122,0.3271305089737433
123,0.43832026640574195
124,0.11384718785683434
125,0.30622724915544197
126,0.5207062106331186
127,0.28776098387108884
128,0.46517294138669996
129,1
130,0.6427501548661128
131,0.4494531140368204
132,0
133,0.43624536813833825
134,0.2993099937113848
135,1
136,0
137,0.2405281823255363
138,0.4949551399924099
139,0.332025062578693
140,0.5706490297264828
141,1
142,0.16020394448078057
143,0
144,0.7473171117035761
145,0.575765191344392
146,0.041796475347036455
147,0.6260386783343086
148,0.1560504492416852
149,0.38865259570953214
150,0.6627767829152389
151,0.05050594643140527
152,0.5529461713428174
153,1
154,0.32237734029690346
155,0.25720793873071646
156,0
157,0.47762869470603
158,0.10388345713243097
159,0
160,0.6233709018158194
161,0.7913177101660256
162,0
163,0.005149968722553133
164,1
165,0
166,0.545013398419726
167,0
168,1
169,0.4361898338781982
170,0.818929275488243
171,0.4690525009387576
172,0.37172885669926514
173,1
174,0
175,0.046039962783837596
176,0.8274614184432554
177,0.6304491984347497
178,0.7115498137474062
179,0
180,0.3369749729216046
181,0.3895668112450118
182,0.826540298234749
183,0.08331470648609773
184,0.7786284706705097
185,0.7949885936789988
186,0.71398196346693
187,0.6617262206190111
188,0.2731216428392411
189,0.7441821969785055
190,0.13327494790619798
191,0.29914721753422135
192,1
193,0.776941379799385
194,0.9208949896693233
195,0.21807927982674613
196,0.7718748062441492
197,0.2125699811345999
198,1
199,0
200,0.8049100280139188
201,0.3823187280694649
202,0
203,1
204,0.028902966331954882
205,0.40843449514923647
206,0.6006217562339518
207,0.17711591344891253
208,0.5439814239003999
209,0.13858674388943393
210,0.29431791168270705
211,0.45733753623384465
212,0
213,0.7494441243471238
214,0.2186539532574021
215,0.3298954381236241
216,0.9898023288094354
217,0.600315989649448
218,0.5986141256949836
219,0.30970427696521396
220,1
221,0
222,0
223,0.5708408442612024
224,0.34242606243910456
225,0.4913357532218906
226,0
227,0.3474470335439632
228,0.33347574275690306
229,0.9798345511021672
230,0.271923298060476
231,1
232,0.4807010749253354
233,0.11028310184677437
234,0.2777869730525552
235,0
236,0.6004599489858666
237,0.05469579313439488
238,1
