Step,Value
0,0
1,0.16992860694726275
2,0
3,0
4,0
5,0
6,0.26204080805464713
7,0.20124452959407557
8,1
9,0.48126540038320786
10,0.9706936590704651
11,0
12,0.9910401315324837
13,0.4718801234993676
14,1
15,0.3150105046646471
16,0.5144782671716187
17,0.301751174769469
18,0.8509772420674566
19,0.11514361081024127
20,0.6053352342297638
21,0
22,0
23,0.23979546318451472
24,0
25,0.13930406574649168
26,0.2594168319936949
27,0.41046194099717714
28,0.07145746880107462
29,0.40039987646871167
30,0
31,0.15240089307228832
32,0.14467088831193697
33,0
34,0.19160257577896167
35,0.22298188974459876
36,0.5422744248310728
37,0.2603625449869381
38,0.08412457903226322
39,0.03150399883588295
40,0.024785206317902597
41,0.12772196511427625
42,0
43,0.38711392632939623
44,0.2620366692723659
45,0.47314747871774565
46,0.7101359327814801
47,0.2715684781652501
48,0
49,0.17802116266705992
50,0.296749267776808
51,0.16698292295138095
52,0.4046674468165117
53,0.03723368187745546
54,0.0682486718170584
55,0.03960145673065463
56,0.26959407170613636
57,0
58,0.6562043875455851
59,0.30530986815690964
60,0.17673488209644872
61,0.16466579367717082
62,0.2460320080320043
63,0.36035847644914243
64,0.26238445232311824
65,0.19523787985245333
66,0.26111026952664085
67,0.18340139563336422
68,0.12539151738087218
69,0.19953411887089367
70,0.2445990758140878
71,0.09722102036078673
72,0.29777022301247535
73,0.11000205745299618
74,0.40448663640202864
75,0
76,0.226299152374266
77,0.17546630115219952
78,0.24051362673441512
79,0.15239808082580386
80,0.38935921887556624
81,0.24623589810397706
82,0.14761896129810403
83,0.2927886424461982
84,0.19862716212417042
85,0.3031592271996255
86,0.2773609222968404
87,0.1528793321053188
88,0.2669459733366958
89,1
90,0.7547546585400896
91,0.2824169435766014
92,0.056789896578499977
93,0.036282120744387525
94,0.007218118309975208
95,0.20035281936327654
96,0.1673471290776225
97,0.15571432307362576
98,0.40703055262565657
99,0.2048234045505528
100,0.08224876339236942
101,0.21026758650938782
102,0.07070757311401943
103,0.2671906127532325
104,0.16933856089909982
105,0.06585386315981478
106,0
107,0.24761457959810884
108,0.18810877581437535
109,0.36736240367094675
110,0.3966893508036936
111,0.14559631188710553
112,0.5060595021645241
113,0.29693738838036965
114,0.29082662497957623
115,0.1138347997268051
116,0.005422687530517889
117,0.1464225379625953
118,0.03095868865648954
119,0.16496474027633723
120,0.10381169537703239
121,0.03762231886387002
122,0.2666352439423413
123,0.1191378531672751
124,0.03024477740128917
125,0.19640460511048707
126,0.16862048278252273
127,0.19346674442291278
128,0.08286083062489813
129,0.03791847189267428
130,0.04964364151159906
131,0
132,0.25201501369476387
133,0.09724259614944641
134,0.522547539716417
135,0.2300274860858924
136,0
137,0.24208279282757805
138,0.12055032650629671
139,0.22067099168896653
140,0.021231951614220423
141,0.19095029195149793
142,0.4346478141844271
143,0.045221457445260294
144,0.09531748533248852
145,0.0029125717191990086
146,0.0366961183150597
147,0.06293581684430283
148,0.25975486596425434
149,0.17081044932206435
150,0.16363193273544352
151,0.0665417482455567
152,0.7930586393674218
153,0.10289098537630503
154,0.35856853382153897
155,0.2592258985837296
156,0.09470856507619207
157,0.2387283323870758
158,0.09556925018628426
159,0.10528075436750972
160,0.019906534299706458
161,0.11628016054630208
162,0.045926738182703986
163,0.12245866755644408
164,0.11417545882138425
165,0
166,0.11663373271624322
167,0.1592713704976173
168,0.11095759352048351
169,0.0321558052301405
170,0
171,0.16158082326253387
172,0.05143285969893152
173,0.11747634530067574
174,0.19910268398848474
175,0.23234147707621255
176,0.1320844719807306
177,0
178,0.17545318563779144
179,0.07005279541015508
180,0.033930188092316516
181,0.04352137903372266
182,0.6246017296115544
183,0.3896426724725288
184,0.18233033736546833
185,0.05681407034397101
186,0.14050267914930836
187,0.3881378767887732
188,0.32584797603614335
189,0.38421865026155977
190,0.249058062036832
191,0.7650171104404658
192,0.276534093076532
193,0.14050294339656821
194,0.2728283661107215
195,0
196,0.29108790841367604
197,0.3112545923060853
198,0.6919887230417352
199,0.47154959499233917
200,0.3247923012574512
201,1
202,0.937408820490042
203,0.09192231949832708
204,0.2463153795401256
205,0.46303706834713676
206,0.6496381667256355
207,0.145321425000826
208,0.16092214226722668
209,0.6634240879795769
210,0.7248508290449776
211,0.2916213063398997
212,0.046045345934954574
213,0.10353742182254788
214,0
215,0.10389765779177207
216,0
217,0.007559760014215655
218,0.12680443456678525
219,0.04054363548755602
220,0.020424468119938366
221,0
222,0.16808068844405033
223,0.03873782058556807
224,0.0876444687445962
225,0.14386393606662806
226,1
227,0.29064450485838644
228,0.15413732667764146
229,0.18141422629356296
230,0.020613269011179214
231,0
232,0.12063971320788136
233,0.08738707742907825
234,0.05554003530078455
235,0.22823393325011054
236,0.20334699229760667
237,0.6415733286738404
238,0.1026868104934695
239,0
240,0.23719852135036945
241,0.5464717368947127
242,0.3252032633261247
243,0.08426531121586223
244,0.2652236599633191
245,0.1764100371843037
246,0.09221350579550747
247,0.15730776419693748
248,0.12275095309272088
249,0.1681311291998081
250,0.654155490253911
251,0.4341969232968603
252,0.8702712712233721
253,0.4755473666931639
254,0.447523472661322
255,0.6090988367675526
256,0.7072965471491679
257,0.7946112731640991
258,0.3396366327368857
259,0.23354731128071327
260,0.12042841718052322
261,0.17579082136804391
262,0.4032105340108726
263,0.07639774208719186
264,0.13647855708093337
265,0.006784917766397114
266,0.18999057894403315
267,0.10756413187041425
268,0.12313126191948476
269,0.16043593092398167
270,0.03894427583072968
271,0
272,0.08448021014531526
273,0.17225678801536526
274,0.013633656501770175
275,0.09749806167501551
276,0.10238735258579279
277,0.06481354951858465
278,0.08208858836780908
279,0.059532605608304756
280,0.05581334769725843
281,0.05335751547957879
282,0.03947119573752078
283,0.022607665603811
284,0.004380484024683384
285,0.12251366992791479
286,0.1195270376404135
287,0.11317055861155256
288,0.027455054106135135
289,0.05694606721401174
290,0
291,0.04335568328698325
292,0.1463372271259621
293,0.23627897907387074
294,0.10077945391337051
295,0.001343890627225064
296,0.005229571461676463
297,0.0665701623757663
298,0.12731741527716312
299,0.09232349991798416
300,0.14853308707475588
301,0.06209406554698804
302,0.04343430101871382
303,0.027328438487918327
304,0.10737263441085576
305,0.10170076727867061
306,0.09378725171088964
307,0
308,0.11887036740779766
309,0.07945183753967255
310,0.08658095737298233
311,0.001765225529669734
