Wall time,Step,Value
1706326456.047182,0,0.17589999735355377
1706326466.7930639,10,0.37709999084472656
1706326477.505054,20,0.4894999861717224
1706326488.129142,30,0.5192999839782715
1706326498.614979,40,0.4772000014781952
1706326509.096939,50,0.5300999879837036
1706326519.9828851,60,0.6054999828338623
1706326530.813619,70,0.5009999871253967
1706326541.633722,80,0.6036999821662903
1706326552.350944,90,0.5861999988555908
1706326563.029883,100,0.6039000153541565
1706326574.113971,110,0.602400004863739
1706326584.667797,120,0.6202999949455261
1706326594.914768,130,0.6266999840736389
1706326605.718415,140,0.6116999983787537
1706326616.5963452,150,0.600600004196167
1706326627.5181282,160,0.6398000121116638
1706326637.7699552,170,0.6299999952316284
1706326647.934762,180,0.6335999965667725
1706326658.7135801,190,0.6420000195503235
1706326669.401994,200,0.6676999926567078
1706326680.2213519,210,0.6851999759674072
1706326690.24699,220,0.6837000250816345
1706326700.897315,230,0.6100000143051147
1706326711.267151,240,0.5918999910354614
1706326721.471688,250,0.6883000135421753
1706326731.6289961,260,0.680899977684021
1706326742.23587,270,0.5406000018119812
1706326751.984986,280,0.6736000180244446
1706326762.524638,290,0.6337000131607056
1706326772.769631,300,0.6358000040054321
1706326783.619381,310,0.6240000128746033
1706326794.004013,320,0.6191999912261963
1706326804.718064,330,0.6283000111579895
1706326815.080598,340,0.6887999773025513
1706326825.8564532,350,0.6060000061988831
1706326836.81245,360,0.5710999965667725
1706326847.099301,370,0.6385999917984009
1706326857.56765,380,0.6010000109672546
1706326867.5392241,390,0.6164000034332275
1706326877.9955149,400,0.6521999835968018
1706326888.741534,410,0.6815999746322632
1706326898.8854132,420,0.6394000053405762
1706326909.569325,430,0.6499999761581421
1706326920.054647,440,0.7017999887466431
1706326930.921429,450,0.6683000326156616
1706326941.711444,460,0.5961999893188477
1706326951.986958,470,0.6166999936103821
1706326962.294473,480,0.6186000108718872
1706326972.970459,490,0.6818000078201294
1706326983.939082,500,0.6053000092506409
1706326994.7387788,510,0.6478999853134155
1706327005.121901,520,0.7063000202178955
1706327016.268769,530,0.6175000071525574
1706327026.752948,540,0.6226999759674072
1706327037.074396,550,0.6294000148773193
1706327047.8362932,560,0.6883999705314636
1706327058.596855,570,0.6330000162124634
1706327069.0784051,580,0.6690999865531921
1706327080.000028,590,0.6359999775886536
1706327090.321175,600,0.6398000121116638
1706327100.403641,610,0.6639000177383423
1706327110.800912,620,0.6480000019073486
1706327121.255738,630,0.7050999999046326
1706327131.688128,640,0.622700035572052
1706327142.272949,650,0.6467999815940857
1706327153.119979,660,0.6513999700546265
1706327163.4463308,670,0.6985000371932983
1706327173.555799,680,0.6597999930381775
1706327184.2537742,690,0.6405999660491943
1706327194.8059142,700,0.6341000199317932
1706327205.058549,710,0.6933000087738037
1706327215.663388,720,0.6736999750137329
1706327226.487432,730,0.6988999843597412
1706327237.225415,740,0.6495000123977661
1706327247.789353,750,0.6869000196456909
1706327258.411536,760,0.6603000164031982
1706327269.835847,770,0.6399999856948853
1706327280.522451,780,0.6431000232696533
1706327291.394712,790,0.6492999792098999
1706327302.377011,800,0.5859000086784363
1706327312.7579541,810,0.6812999844551086
1706327323.4276931,820,0.6758999824523926
1706327333.7096498,830,0.6685000061988831
1706327344.247724,840,0.6395000219345093
1706327355.006579,850,0.6948999762535095
1706327365.377304,860,0.650600016117096
1706327375.911629,870,0.5555999875068665
1706327386.285523,880,0.669700026512146
1706327397.261429,890,0.6462000012397766
1706327407.910058,900,0.683899998664856
1706327418.140539,910,0.6901999711990356
1706327429.1040761,920,0.6460000276565552
1706327440.07445,930,0.6341999769210815
1706327450.613943,940,0.6348000168800354
1706327460.596531,950,0.6665999889373779
1706327471.6988218,960,0.7037999629974365
1706327482.092853,970,0.6118000149726868
1706327492.742697,980,0.6366999745368958
1706327503.6543272,990,0.6574000120162964
1706327512.592406,999,0.6784999966621399
