Wall time,Step,Value
1705651922.470415,0,0.10000000149011612
1705651934.174881,10,0.37939998507499695
1705651943.672637,20,0.6064000129699707
1705651955.07022,30,0.7009999752044678
1705651964.2345228,40,0.6625999808311462
1705651973.306813,50,0.7702000141143799
1705651983.787244,60,0.786300003528595
1705651992.204043,70,0.7781999707221985
1705652001.037606,80,0.7439000010490417
1705652009.5028899,90,0.7540000081062317
1705652018.7088141,100,0.7415000200271606
1705652027.757492,110,0.8237999677658081
1705652036.800114,120,0.8119999766349792
1705652046.1074429,130,0.809499979019165
1705652055.239011,140,0.802299976348877
1705652062.946084,150,0.8292999863624573
1705652072.326748,160,0.7526000142097473
1705652080.7007082,170,0.7972999811172485
1705652089.569803,180,0.8199999928474426
1705652098.392193,190,0.828000009059906
1705652107.086297,200,0.7976000308990479
1705652116.5520158,210,0.8047000169754028
1705652125.022387,220,0.8220000267028809
1705652134.1201448,230,0.8105999827384949
1705652142.708111,240,0.8158999681472778
1705652151.5057511,250,0.818399965763092
1705652159.865419,260,0.7907999753952026
1705652168.374348,270,0.8047999739646912
1705652175.97001,280,0.8514000177383423
1705652184.787523,290,0.8127999901771545
1705652192.590047,300,0.8407999873161316
1705652201.2924008,310,0.7968999743461609
1705652209.860107,320,0.8503000140190125
1705652219.2743082,330,0.8180000185966492
1705652227.351681,340,0.8522999882698059
1705652236.391098,350,0.8485000133514404
1705652245.256612,360,0.8555999994277954
1705652253.2256398,370,0.7883999943733215
1705652262.072565,380,0.8467000126838684
1705652270.192429,390,0.8429999947547913
1705652278.825046,400,0.7986000180244446
1705652286.840231,410,0.832800030708313
1705652295.124251,420,0.7795000076293945
1705652304.1423428,430,0.8388000130653381
1705652312.351617,440,0.7922000288963318
1705652321.7094579,450,0.8255000114440918
1705652329.643976,460,0.8147000074386597
1705652338.210439,470,0.7789999842643738
1705652347.158732,480,0.8689000010490417
1705652355.7433999,490,0.8306000232696533
1705652364.2721212,500,0.8317999839782715
1705652372.823622,510,0.839900016784668
1705652381.5319092,520,0.8431000113487244
1705652390.0546188,530,0.8730000257492065
1705652399.2089732,540,0.8212000131607056
1705652408.253044,550,0.8274000287055969
1705652416.832454,560,0.8348000049591064
1705652425.417384,570,0.8537999987602234
1705652433.351688,580,0.847100019454956
1705652441.6580842,590,0.8687999844551086
1705652450.769631,600,0.8575000166893005
1705652459.802484,610,0.8246999979019165
1705652467.667539,620,0.836400032043457
1705652475.6561139,630,0.8446000218391418
1705652483.77248,640,0.7878999710083008
1705652491.551764,650,0.857200026512146
1705652500.3492491,660,0.8496000170707703
1705652509.715018,670,0.8187999725341797
1705652518.065995,680,0.8443000316619873
1705652525.541332,690,0.8199999928474426
1705652533.817413,700,0.8561999797821045
1705652542.473,710,0.8309999704360962
1705652550.598551,720,0.8801000118255615
1705652559.1020532,730,0.8519999980926514
1705652567.558858,740,0.8564000129699707
1705652576.588198,750,0.83160001039505
1705652585.1195211,760,0.8747000098228455
1705652594.0654342,770,0.8349000215530396
1705652602.570935,780,0.8665000200271606
1705652611.33259,790,0.8532000184059143
1705652619.1166432,800,0.8281999826431274
1705652627.251852,810,0.8776999711990356
1705652636.1010501,820,0.882099986076355
1705652644.737251,830,0.8586000204086304
1705652653.51343,840,0.8705999851226807
1705652663.527453,850,0.8465999960899353
1705652672.5030248,860,0.8511000275611877
1705652680.785635,870,0.8610000014305115
1705652689.151246,880,0.8579000234603882
1705652697.339458,890,0.8012999892234802
1705652706.586943,900,0.8356999754905701
1705652714.868865,910,0.8557000160217285
1705652723.350921,920,0.8830000162124634
1705652731.237441,930,0.829800009727478
1705652739.820534,940,0.859000027179718
1705652748.319531,950,0.7757999897003174
1705652757.3869598,960,0.8331999778747559
1705652766.036882,970,0.8751000165939331
1705652775.8230321,980,0.8237999677658081
1705652784.5528278,990,0.8604999780654907
1705652792.158867,999,0.8702999949455261
